episodes,scores,avg_scores
81,-911,-765.0727159946176
82,-451,-761.2887073681765
83,-381,-756.7614608518886
84,-418,-752.77603190069
85,-177,-746.0809617623098
86,-4,-737.5512955351569
87,-515,-735.0223035404392
88,-285,-729.9658731635803
89,-28,-722.1662523506517
90,-138,-715.7468429841609
91,-309.70295490971546,-711.3333224616126
92,-275,-706.6415663061114
93,-259,-701.8794219837059
94,-506,-699.8175333312458
95,-1437,-707.4965173590455
96,-420,-704.5326357367873
97,-982,-707.3639353721262
98,-3099.0510802326326,-731.5223913808181
99,-192,-726.12716746701
100,-207,-696.5563515541703
101,-9,-600.6929921469418
102,-4,-597.4229921469419
103,-1361,-604.1729921469419
104,-250,-603.8629921469418
105,-133,-605.1229921469418
106,-667.4395702617117,-608.627387849559
107,-179,-604.3673878495589
108,-454,-590.7373878495589
109,-79,-584.4873878495589
110,-962,-590.737387849559
111,-54,-585.5575441830534
112,-446,-589.1875441830534
113,-980,-595.8175441830534
114,-79,-594.9275441830536
115,-23,-586.447634193778
116,-51,-583.577634193778
117,57,-582.2276341937779
118,-584,-569.347634193778
119,4,-568.067634193778
120,-453,-571.2876341937779
121,-213,-571.6676341937779
122,-2486.7981756916915,-563.5556159506949
123,-1785.8901772653905,-581.3845177233487
124,-35,-580.2445177233487
125,-348,-583.7045177233488
126,-246,-582.4545177233489
127,-455,-572.4526744144355
128,-470,-575.7526744144354
129,-65,-534.928924692512
130,-463,-534.558924692512
131,-7928.263086935171,-613.8215555618638
132,-1218.2099644505474,-605.7652409116018
133,-507,-608.7752409116018
134,-681.9718402505864,-607.3677585554938
135,-196,-604.0477585554938
136,-159,-601.3577585554937
137,-41,-596.4077585554937
138,-329,-595.2377585554937
139,-203,-595.6777585554937
140,-1231.170601503555,-606.3994645705292
141,-1411,-619.0194645705292
142,-554,-621.9694645705291
143,-4279.065004410962,-664.0401146146389
144,-598,-669.5201146146388
145,-339,-660.8801146146388
146,-76,-661.9301146146389
147,-516,-657.8601146146389
148,-300,-657.9001146146388
149,-692,-657.6701146146387
150,-340,-659.3801146146388
151,-354,-659.0001146146388
152,-563,-664.1301146146388
153,-762,-669.1101146146387
154,-50,-652.1164519582767
155,-245,-648.9564519582767
156,-6353.99140832465,-711.3663660415232
157,-643,-713.3163660415231
158,-978,-722.9363660415231
159,-80,-722.8163660415231
160,-256,-724.6163660415232
161,-13.695750521578377,-722.003323546739
162,-192,-721.313323546739
163,-607,-722.233323546739
164,-363,-722.0833235467389
165,-1587.8270810894817,-734.8515943576338
166,-227,-733.5915943576335
167,-675,-728.9915943576336
168,-544,-729.2915943576337
169,-79,-730.0115943576337
170,-301,-729.5015943576337
171,-318,-730.7715943576337
172,-69,-730.8115943576337
173,-269,-715.2580360846616
174,-6,-711.0980360846618
175,-176,-645.2507669584768
176,-360,-644.8607669584767
177,-548,-645.2707669584768
178,-403,-643.2007669584767
179,-627,-646.4907669584768
180,-393,-639.1307669584767
181,-1220,-642.2207669584767
182,-3,-637.7407669584767
183,-548,-639.4107669584766
184,-382,-639.0507669584766
185,-1182.7011011948496,-649.1077779704251
186,-729,-656.3577779704251
187,-318,-654.3877779704252
188,-61,-652.1477779704252
189,-1152,-663.3877779704252
190,-51,-662.5177779704251
191,-379,-663.210748421328
192,-318,-663.640748421328
193,-69,-661.740748421328
194,-809.1748127282352,-664.7724965486103
195,-691.8708176108064,-657.3212047247184
196,-1745.369274430053,-670.5748974690191
197,-299,-663.744897469019
198,-815.4974468562704,-640.9093611352554
199,-2335.4413613138277,-662.3437747483936
200,-210,-662.3737747483937
201,-157,-663.8537747483938
202,-289,-666.7037747483936
203,-167,-654.7637747483936
204,-41,-652.6737747483936
205,-627,-657.6137747483937
206,-298,-653.9193790457766
207,-1,-652.1393790457765
208,-58,-648.1793790457766
209,-1,-647.3993790457766
210,-682,-644.5993790457766
211,-279,-646.8493790457766
212,-868.8699177517755,-651.0780782232944
213,-2263,-663.9080782232943
214,-845,-671.5680782232943
215,-489,-676.2280782232942
216,-367,-679.3880782232943
217,-647,-686.4280782232943
218,-129,-681.8780782232943
219,-349.6518252289616,-685.414596475584
220,-522,-686.104596475584
221,-198,-685.9545964755839
222,-2448.339038852296,-685.5700051071901
223,-74,-668.4511033345361
224,-21110.389830805856,-879.2050016425945
225,-372,-879.4450016425945
226,-48,-877.4650016425945
227,-258,-875.4950016425947
228,-461,-875.4050016425946
229,-298,-877.7350016425946
230,-265,-875.7550016425946
231,-411,-800.582370773243
232,-750.6986072931829,-795.9072572016692
233,-2282.5325810583427,-813.6625830122525
234,-519,-812.0328646097469
235,-3409.219322454728,-844.1650578342941
236,-766,-850.2350578342941
237,-643,-856.2550578342941
238,-470,-857.6650578342941
239,-247,-858.1050578342941
240,-16.91771641587074,-845.9625289834173
241,-607.2593654528785,-837.9251226379461
242,-1201,-844.3951226379462
243,-197,-803.5744725938365
244,-1284.56120786831,-810.4400846725194
245,-63,-807.6800846725196
246,-1470,-821.6200846725196
247,-1074.7002371143292,-827.2070870436629
248,-253,-826.7370870436629
249,15,-819.667087043663
250,-199,-818.2570870436629
251,-456,-819.277087043663
252,-172,-815.3670870436629
253,-6598.032649569555,-873.7274135393585
254,-111,-874.3374135393585
255,-294,-874.8274135393585
256,-249,-813.777499456112
257,-130,-808.647499456112
258,-652,-805.387499456112
259,-247,-807.0574994561119
260,-53,-805.027499456112
261,-355,-808.4405419508962
262,-2,-806.5405419508961
263,-1031,-810.7805419508961
264,-276,-809.9105419508961
265,-1935,-813.3822711400014
266,30,-810.8122711400013
267,-188,-805.9422711400013
268,-760,-808.1022711400012
269,-301,-810.3222711400014
270,-1133.8024293697945,-818.6502954336992
271,-5863.385420284804,-874.1041496365473
272,-700,-880.4141496365472
273,-77,-878.4941496365474
274,-419,-882.6241496365473
275,-38,-881.2441496365474
276,-1833,-895.9741496365473
277,16,-890.3341496365474
278,-62,-886.9241496365472
279,-2,-880.6741496365473
280,-825.88184861858,-885.002968122733
281,-225,-875.0529681227331
282,-104.12712578223409,-876.0642393805554
283,-472,-875.3042393805555
284,-351,-874.9942393805554
285,-309,-866.257228368607
286,-33,-859.2972283686069
287,-1667.0907430807367,-872.7881357994142
288,-7241.695568328034,-944.5950914826947
289,-108,-934.1550914826947
290,-1826,-951.9050914826947
291,-55.88208324935926,-948.6739123151883
292,-396,-949.4539123151884
293,-348,-952.2439123151883
294,-1171,-955.8621641879058
295,-276,-951.7034560117978
296,-62,-934.8697632674973
297,-255,-934.4297632674972
298,-149,-927.7647887989347
299,-441.78947589317215,-908.8282699447279
300,-391,-910.638269944728
301,-19,-909.258269944728
302,-327,-909.638269944728
303,-1011,-918.078269944728
304,-37300.26276343831,-1290.670897579111
305,-3974.1838359981575,-1324.1427359390925
306,-26826.02843766475,-1589.4230203157401
307,-56,-1589.9730203157405
308,-449,-1593.8830203157404
309,-467.4461845056445,-1598.547482160797
310,-400,-1595.7274821607966
311,-626,-1599.1974821607967
312,-77,-1591.2787829832791
313,-659,-1575.2387829832787
314,-225,-1569.0387829832791
315,-485,-1568.9987829832792
316,-255,-1567.878782983279
317,-449,-1565.8987829832788
318,-581,-1570.418782983279
319,-1298.4685434835067,-1579.9069501658241
320,-306,-1577.746950165824
321,-176,-1577.526950165824
322,-2,-1553.0635597773012
323,-29.435853480751902,-1552.6179183121087
324,-339,-1344.9040200040502
325,-581.4725263257507,-1346.9987452673079
326,-25,-1346.7687452673076
327,-198,-1346.1687452673077
328,-174,-1343.2987452673076
329,-71,-1341.028745267308
330,-21,-1338.588745267308
331,-51,-1334.9887452673076
332,-1217.0086147414233,-1339.6518453417902
333,-409,-1320.9165195312066
334,-2,-1315.7465195312068
335,-1,-1281.6643263066594
336,-1043.51645232991,-1284.439490829959
337,-6558.351605840312,-1343.5930068883617
338,-559,-1344.4830068883616
339,6,-1341.9530068883616
340,-558,-1347.363829724203
341,-333,-1344.6212360696745
342,-466,-1337.2712360696742
343,-466,-1339.9612360696744
344,-431,-1331.4256239909912
345,-90,-1331.6956239909912
346,-45,-1317.4456239909912
347,-608,-1312.7786216198479
348,-381,-1314.0586216198478
349,-66,-1314.8686216198478
350,-3786.310600249886,-1350.7417276223466
351,-180,-1347.9817276223469
352,-53,-1346.791727622347
353,-708,-1287.891401126651
354,-472.5357725181168,-1291.5067588518325
355,-4166.549504737705,-1330.2322538992096
356,-189,-1329.6322538992097
357,-988.6129729065913,-1338.2183836282754
358,-428,-1335.9783836282754
359,-20412.7289714599,-1537.6356733428745
360,-26,-1537.3656733428743
361,-1229.4726341951894,-1546.1103996848262
362,-346,-1549.5503996848263
363,-240,-1541.6403996848262
364,-90,-1539.7803996848263
