episodes,scores,avg_scores
0,-1726,-1726.0
1,-1016,-1371.0
2,-1020,-1254.0
3,-434,-1049.0
4,-755,-990.2
5,-716.2834878081168,-944.5472479680194
6,-558,-889.3262125440167
7,-1517,-967.7854359760146
8,-1337,-1008.809276423124
9,-712,-979.1283487808116
10,-1638,-1039.0257716189196
11,-8,-953.106957317343
12,-797,-941.0987298313935
13,-215,-889.2345348434368
14,-3500,-1063.2855658538745
15,-650,-1037.4552179880072
16,-8354.013226342982,-1467.8409831853587
17,-884,-1435.4053730083942
18,-765,-1400.120879692163
19,-1335,-1396.864835707555
20,-851,-1370.871272102433
21,-438,-1328.4680324614135
22,-262,-1282.0998571370042
23,-1458,-1289.429029756296
24,-1125,-1282.851868566044
25,-2231,-1319.3191043904271
26,-1015,-1308.0480264500409
27,-260,-1270.6177397911108
28,-12,-1227.217128074176
29,-1074,-1222.1098904717035
30,-3500,-1295.5902165855196
31,-3306,-1358.415522317222
32,-351.94508242508726,-1327.9164180780665
33,-266,-1296.683582252241
34,-1655,-1306.9211941878912
35,-331.6668659177917,-1279.8307961803885
36,-904,-1269.673207094432
37,-286,-1243.787070065631
38,-1542,-1251.4335554485635
39,-1679,-1262.1227165623495
40,-196.87662186543258,-1236.1411044965712
41,-658,-1222.3758401037956
42,-1138,-1220.4136112641725
43,-548,-1205.1314837354412
44,-383.89948311896455,-1186.8818837217418
45,-367,-1169.0583645103995
46,-250,-1149.5039312229442
47,-3298,-1194.2642659891328
48,-254,-1175.0751993362935
49,-3500,-1221.5736953495675
50,-730,-1211.9349954407526
51,-1371,-1214.9939378361228
52,-1377,-1218.050655990158
53,-106,-1197.4571253236736
54,-1338,-1200.0124503177888
55,-389,-1185.5300851335426
56,-1473,-1190.5734169733048
57,-663.1181686445109,-1181.479360967636
58,-629,-1172.1153040020827
59,-777,-1165.5300489353815
60,-490,-1154.4557858380801
61,-269,-1140.1742409052079
62,-771,-1134.3143323194108
63,-478,-1124.05942087692
64,-117,-1108.566199017275
65,-1365,-1112.4515596382255
66,0,-1095.8478050167594
67,-6028.227758270831,-1168.3828043293195
68,-1521,-1173.4931984694742
69,-1,-1156.7432956341959
70,-2461,-1175.1131083717426
71,-578,-1166.8198707554684
72,-282,-1154.6990506081331
73,-1022,-1152.9058201945097
74,-166,-1139.7470759252496
75,-1004,-1137.960930189391
76,-1905,-1147.9224765505678
77,-1576,-1153.4106499281245
78,-2845,-1174.823173346756
79,-965,-1172.2003836799215
80,-6426.815982426135,-1237.072181195307
81,-59,-1222.7054472782909
82,-3399,-1248.9258635761428
83,-968,-1245.5815080573793
84,-712,-1239.304078550822
85,-34.33434673378003,-1225.2928025994609
86,-2601,-1241.1055290063637
87,-1070,-1239.1611479949277
88,-297,-1228.575067680378
89,-57329.19684066004,-1851.9153096023742
90,-2315,-1857.0041523539967
91,-6574.742401113142,-1908.2839159274656
92,-523,-1893.388389949751
93,-481,-1878.3629815460301
94,-518,-1864.0433712139668
95,-374,-1848.5220860971542
96,-1194,-1841.7744357250187
97,-718,-1830.307349646192
98,-1873,-1830.7385885386548
99,-1972,-1832.1512026532682
100,-49,-1815.381202653268
101,-3500,-1840.2212026532682
102,-1600,-1846.0212026532681
103,-60,-1842.281202653268
104,-63,-1835.361202653268
105,-1083.4433216367338,-1839.0328009915545
106,-994,-1843.3928009915544
107,-855,-1836.7728009915545
108,-928,-1832.6828009915544
109,-843,-1833.9928009915543
110,-565,-1823.2628009915543
111,-245,-1825.6328009915544
112,-1374,-1831.4028009915544
113,-413,-1833.3828009915544
114,-3500,-1833.3828009915544
115,-32971.917051495155,-2156.6019715065063
116,-3500,-2108.0618392430765
117,-821,-2107.4318392430764
118,-1908,-2118.8618392430762
119,-237,-2107.8818392430762
120,-901,-2108.3818392430762
121,-456,-2108.561839243076
122,-605,-2111.991839243076
123,-1165,-2109.061839243076
124,-474,-2102.5518392430763
125,-10263.401359636457,-2182.8758528394405
126,-1266,-2185.3858528394408
127,-2702,-2209.805852839441
128,-178,-2211.4658528394407
129,-2976,-2230.4858528394407
130,-1037,-2205.8558528394406
131,-113,-2173.9258528394407
132,-964,-2180.04640201519
133,-1799,-2195.37640201519
134,-423,-2183.0564020151896
135,-1126,-2190.999733356012
136,-65,-2182.609733356012
137,-1691,-2196.6597333560117
138,-970,-2190.939733356012
139,-1761,-2191.759733356012
140,-1325,-2203.0409671373577
141,-443,-2200.8909671373576
142,-1004,-2199.5509671373575
