episodes,scores,avg_scores
0,-2138,-2138.0
1,-1066,-1602.0
2,-114,-1106.0
3,-65,-845.75
4,-4,-677.4
5,-52,-573.1666666666666
6,-157,-513.7142857142857
7,-3,-449.875
8,-243,-426.8888888888889
9,-753,-459.5
10,-241,-439.6363636363636
11,-492,-444.0
12,-1408,-518.1538461538462
13,-58,-485.2857142857143
14,-413,-480.46666666666664
15,-1334,-533.8125
16,-829,-551.1764705882352
17,-909,-571.0555555555555
18,-60,-544.1578947368421
19,-909,-562.4
20,-42,-537.6190476190476
21,-801,-549.5909090909091
22,-60,-528.304347826087
23,-639,-532.9166666666666
24,-9695.139920443255,-899.4055968177302
25,-32,-866.0438430939713
26,-202,-841.4496266830835
27,-635,-834.0764257301162
28,-642,-827.4531007049397
29,-202,-806.604664014775
30,-694,-802.9722554981695
31,-974,-808.3168725138516
32,-1980,-843.8224218316137
33,-12132.848886892447,-1175.8526119804617
34,-622,-1160.0282516381628
