episodes,scores,avg_scores
130,-786.6609839192947,-828.5406573558043
131,-792.2005171137073,-828.7261406405618
132,-601.4551088997234,-822.5933975290525
133,173.2163398294046,-809.5978965414321
134,-991.2859115644025,-813.484583572456
135,180.29261454025004,-805.106830031464
136,321.44774493486653,-790.0569560603493
137,-3398.518382476027,-827.8312899913569
138,388.12597975594616,-819.0245477102696
139,-594.9767655039027,-802.792327550433
140,301.7547070184872,-803.7749452261934
141,-3571.994355622791,-831.573956876761
142,-1449.6702708584685,-840.1332412997305
143,-529.4795754466146,-820.2807763947848
144,406.08611551257593,-790.3819895339968
145,-258.8250324074123,-797.4815993501521
146,-769.103894688006,-786.2937601529977
147,-1244.1981367997632,-789.3027442301355
148,-1334.7152147862682,-805.5432979687291
149,-1677.1827495309735,-826.1671515960276
150,-2942.083912971603,-859.6062204819344
151,-2447.237924576733,-871.7144305804331
152,-1539.8055085581839,-891.0341583528954
153,-1054.6850472993985,-893.8066634599807
154,417.7589042796714,-880.6692798980174
155,444.6207085781674,-867.8626388637678
156,-1936.547877020676,-870.0461491342512
157,-1807.855611906608,-891.1958189164959
158,366.8586231635798,-866.7037686110892
159,-843.4742385582914,-877.5447033558382
160,-1596.741261445994,-884.3609874160727
161,-1681.755064320803,-904.834211103864
162,-1055.7795498752996,-911.4058782236858
163,-990.8821749528508,-926.3146999732145
164,416.38924107186074,-915.0605639549186
165,-950.1621841371332,-897.3103896458077
166,-1381.2167733350777,-901.6394743936064
167,-1206.322492997171,-892.9941565162007
168,-1819.3223801247514,-915.0691209309184
169,-1389.752033955703,-933.3882121863257
170,-2935.6909972727126,-942.1967312558885
171,500,-942.1967312558883
172,133.78882581495893,-933.664893797962
173,-1398.9391577881206,-949.3696291599963
174,-1135.139023675716,-960.6679107612728
175,-2025.696330228533,-946.015409099125
176,-657.1306207407923,-939.4734182070977
177,-533.2188133076623,-948.9394867951409
178,-892.8096899886762,-941.0621101327026
179,-644.8751353711353,-944.5289517977925
180,-1074.8611065665668,-902.6506872051935
181,-863.1284800560466,-905.0427232550095
182,-624.8377154737017,-886.8222219118086
183,-1271.5696770058667,-892.8957030585985
184,-829.4350650647982,-893.6963303755015
185,-1506.592907329277,-912.3713911117924
186,-1794.0513493105852,-915.2691949946441
187,-2421.3866290978135,-925.4266811195556
188,-2081.2947144985856,-930.0281290260052
189,-3523.1055903785364,-959.0675256382384
190,-977.5915833637516,-960.7631636523729
191,-524.0382281079244,-970.2312648724642
192,-416.6274026953377,-957.8630437115731
193,-1901.7512273123316,-977.9500483271914
194,383.4216831518509,-958.600042439134
195,-688.1449349690442,-955.535516337017
196,-1975.5009416258263,-959.6072793638156
197,-3968.366351632247,-1002.147150947755
198,-591.0467791023771,-1001.7467476288401
199,-1494.192585600015,-994.8868364978231
200,-734.6885213664939,-992.583379935929
201,-896.2480549555612,-1003.3683077906564
202,-1141.219828762199,-1016.4401750393856
203,-1175.3589067912385,-1031.7975604840037
204,-1749.3468410039538,-1037.7818092292073
205,294.02483075308004,-1026.7795879199894
206,-478.7944613856926,-1013.063965815302
207,-1037.6933826268828,-1028.0126239776864
208,224.09996910057663,-1014.0890199462542
209,-604.7994348902369,-1018.9015872839439
210,-574.6130456064132,-1028.8380029851264
211,-1500.2317424887672,-1030.2593041770199
212,-2017.5874978624395,-1038.5082109772857
213,-1002.4225868055083,-1046.217233642439
214,-1739.7648468707814,-1064.8474248949458
215,-1455.4252050224084,-1083.3808254428507
216,-2927.486999404162,-1111.4744939477723
217,-301.91118848899526,-1108.3415998715848
218,-240.40592057566758,-1100.6504715379895
219,-1473.4929936759315,-1095.86349874904
220,-1440.9407020302679,-1094.2960995625656
221,300.0825758020298,-1084.7744844926426
222,-1721.7457834912186,-1078.6894569504398
223,-2496.2356937128684,-1100.6909751883074
224,-787.5309562635239,-1094.001217958014
225,-602.2984207358959,-1085.197241458015
226,-1240.5454940749985,-1088.8552875803096
227,-1241.8594687877721,-1080.6854715222805
228,-1942.1835455504206,-1101.6337726090676
229,64.87977275420538,-1086.0289686038639
