episodes,scores,avg_scores
0,-2000,-2000.0
1,-762,-1381.0
2,-355,-1039.0
3,-677,-948.5
4,-1233,-1005.4
5,-569,-932.6666666666666
6,-73,-809.8571428571429
7,-347,-752.0
8,-721,-748.5555555555555
9,-282,-701.9
10,-66,-644.0909090909091
11,-293,-614.8333333333334
12,-336,-593.3846153846154
13,-522,-588.2857142857143
14,-1008.4523057366183,-616.2968203824413
15,-898,-633.9032691085387
16,-37,-598.791312102154
17,-3554.3400247155423,-762.9884628028979
18,-413,-744.568017392219
19,-621.8372438583075,-738.4314787155234
20,-1556,-777.3633130624033
21,-1334,-802.664980650476
22,-303,-780.9404162743683
23,-2000,-831.7345655962696
24,40,-796.8651829724189
25,-292,-777.4472913196335
26,-572,-769.8381323818693
27,-441,-758.0939133682311
28,-358,-744.2975715279473
29,-6,-719.6876524770157
30,-608,-716.0848249777571
31,-815,-719.1759241972022
32,-290,-706.1705931609233
33,-388,-696.8126345385433
34,-1949,-732.5894164088706
35,-236,-718.7952659530687
36,-1315,-734.9089074137966
37,-765,-735.7007782713282
38,-72,-718.6828095977044
39,-363,-709.7907393577618
40,-65,-694.064135958792
41,-2000,-725.1578470073922
42,-19060.759994897086,-1151.5671992838968
43,-889.6290031456587,-1145.6140584625732
44,-17.092313683764225,-1120.5357974674885
45,-2000,-1139.6545844790649
46,-566,-1127.449167788021
47,-829,-1121.231476792437
48,-1173.0410354193873,-1122.2888147235992
49,-2112,-1142.0830384291273
50,-541,-1130.2970964991443
51,-1644,-1140.1759984895455
52,-542,-1128.889658895403
53,-588,-1118.8731837306734
54,-332,-1104.5663985719339
55,-6172.8013700501015,-1195.0705944911867
56,-1341,-1197.6307595001133
57,-1149,-1196.7922981294219
58,-1867,-1208.1517507034994
59,-2385.231497765265,-1227.7697464878622
60,-609,-1217.6259801519957
61,-2155,-1232.7449159559958
62,-333,-1218.4632506233609
63,-34,-1199.9560123323708
64,-2000,-1212.2643813734112
65,-737,-1205.0634058980565
66,-968,-1201.5251461085334
67,-74,-1184.9438939598786
68,-703,-1177.9591998445178
69,-1494,-1182.4740684181677
70,-533,-1173.326546327771
71,-1142.819025308017,-1172.902830758052
72,-585,-1164.8493673230103
73,-75,-1150.1216731699965
74,-1104.4625108349655,-1149.512884338863
75,-34,-1134.835083229141
76,34,-1119.6554068235678
77,-14008.6152767881,-1284.8984820795233
78,-701,-1277.5073620532003
79,-692,-1270.188520027535
80,-1782,-1276.5071802741088
81,-26,-1261.2570927097904
82,-1009,-1258.2178506289497
83,-1748,-1264.0485905024145
84,-709,-1257.518607084739
85,-285,-1246.2102511884048
86,-165,-1233.7825471517565
87,-568,-1226.2168363886683
88,-630,-1219.5177708112676
89,-1006.496094545028,-1217.1508632971984
90,-821.9205396254797,-1212.8076729271795
91,-438,-1204.3858503953622
92,-1093,-1203.1881530792832
93,-113,-1191.5904067699291
94,-876,-1188.2684024881403
95,-1493,-1191.4426899622222
96,-531,-1184.6340024368385
97,-1053,-1183.29079833034
98,-1877,-1190.297961983569
99,-3394.0488111357313,-1212.3354704750905
100,-1138,-1203.7154704750903
101,-2000,-1216.0954704750905
102,-1243,-1224.9754704750906
103,-1321,-1231.4154704750906
104,-464,-1223.7254704750906
105,-494,-1222.9754704750906
106,-1152,-1233.7654704750905
107,-585,-1236.1454704750906
108,-996,-1238.8954704750906
109,-103,-1237.1054704750904
110,-220,-1238.6454704750906
111,-507,-1240.7854704750905
112,-384,-1241.2654704750905
113,-290,-1238.9454704750906
114,-99,-1229.8509474177245
115,-3947.9319488011456,-1260.3502669057357
116,-261,-1262.5902669057357
117,-4571.205943671743,-1272.7589260952977
118,-1865.9476604995061,-1287.2884027002926
119,-38,-1281.4500302617098
